,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA,MIN_TYPE
396,S0021568,Acacia Ridge,Acacia Ridge,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02986,Acacia Ridge,Public,Public,-29.740931,121.0327,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021568,2021-07-28,
397,S0021608,Cathedrals - Mt Alexander,Cathedrals,"Ni, Cu, Co, PGE",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02996,Mt Alexander - Cathedrals Belt,Public,Public,-28.838262,120.275929,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021608,2021-07-28,
398,S0021612,Merlot,Merlot,"Ni, Cu, PGE, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02997,Youanmi Nickel / Venus,Public,Public,-28.809853,118.746168,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021612,2021-07-28,
399,S0021683,Wattle Dam Nickel,Wattle Dam Ni,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03013,Wattle Dam Nickel,Public,Public,-31.375053,121.492883,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021683,2021-07-28,
400,S0021685,Roe 2,Roe 2,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03014,Roe Hills Nickel,Public,Public,-31.15584,122.501099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021685,2021-07-28,
401,S0021686,Talc Lake,Talc Lake,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03014,Roe Hills Nickel,Public,Public,-31.29751,122.598,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021686,2021-07-28,
402,S0021699,Bellary Nickel,Bellary Ni,"Ni, Cu, Pt, Pd",Occurrence,Outcrop,Undeveloped,NICKEL,STEEL ALLOY METAL,J03015,Bellary Nickel,Public,Public,-23.040435,117.6593,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021699,2021-07-28,
403,S0021759,Winns South East,Winns SE,"Ni, Au, Cu",Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03023,Lawson Nickel,Public,Public,-30.400869,121.6082,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021759,2021-07-28,
404,S0021762,Green Dam,Green Dam,"Ni, Cu, PGE, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03024,Roe Nickel,Public,Public,-30.53718,122.713699,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021762,2021-07-28,
405,S0021844,Mineral Patch Hill,Mineral Patch Hill,"Ni, Cu, Co, Pt, Pd",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J03047,Coglia,Public,Public,-29.0369,122.984596,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021844,2021-07-28,
