SiteCode,StartDate,EndDate,Tonnage (Mt),Grade,GradeUnit,CommodityName,ContainedMetal,ContainedMetalUnit,CutOffGrade,TargetCommodityGroup,quantity(tonne),ppm
S0000046,30/06/2017,29/06/2018,1.972961,2.42,gram/tonne,Gold,4774.56562,kilogram,1.5,GOLD,4.774565620000001,2.42
S0000046,30/06/2017,29/06/2018,1.084241,2.61,gram/tonne,Gold,2829.86901,kilogram,1.5,GOLD,2.82986901,2.61
S0000046,30/06/2017,29/06/2018,0.860833,3.04,gram/tonne,Gold,2616.93232,kilogram,,GOLD,2.61693232,3.04
S0000048,30/06/2002,22/01/2003,0.194,2.8,gram/tonne,Gold,543.2,kilogram,,GOLD,0.5432,2.8
S0000049,30/06/2017,29/06/2018,0.493362,1.54,gram/tonne,Gold,759.77748,kilogram,0.7,GOLD,0.75977748,1.54
S0000050,30/06/2020,,1.737,3.79,gram/tonne,Gold,6583.23,kilogram,,GOLD,6.5832299999999995,3.79
S0000050,30/06/2020,,12.749,1.63,gram/tonne,Gold,20780.87,kilogram,,GOLD,20.78087,1.63
S0000050,30/06/2020,,10.0156,1.43,gram/tonne,Gold,14322.308,kilogram,,GOLD,14.322308000000001,1.43
S0000050,30/06/2020,,1.199,3.3,gram/tonne,Gold,3956.7,kilogram,,GOLD,3.9566999999999997,3.3
S0000050,30/06/2020,,0.426,3.6,gram/tonne,Gold,1533.6,kilogram,,GOLD,1.5335999999999999,3.6
S0000051,25/06/1994,,0.022,5.4,gram/tonne,Gold,118.8,kilogram,,GOLD,0.1188,5.4
S0000053,25/01/2017,05/03/2018,1.74,1.1,gram/tonne,Gold,1914.0,kilogram,0.4,GOLD,1.914,1.1
S0000053,25/01/2017,05/03/2018,2.91,1.2,gram/tonne,Gold,3492.0,kilogram,0.4,GOLD,3.492,1.2
S0000053,25/01/2017,05/03/2018,1.3,1.3,gram/tonne,Gold,1690.0,kilogram,0.4,GOLD,1.69,1.3
S0000055,22/12/2001,12/08/2003,0.101,2.5,gram/tonne,Gold,252.5,kilogram,,GOLD,0.2525,2.5
S0000055,22/12/2001,22/05/2002,0.057,3.0,gram/tonne,Gold,171.0,kilogram,,GOLD,0.171,3.0
S0000057,22/09/2020,,3.72,1.58,gram/tonne,Gold,5877.6,kilogram,0.5,GOLD,5.8776,1.58
S0000060,31/12/2019,,0.257,2.7,gram/tonne,Gold,693.9,kilogram,,GOLD,0.6939,2.7
S0000060,31/12/2019,,0.288,2.4,gram/tonne,Gold,691.2,kilogram,,GOLD,0.6912,2.4
S0000061,31/12/2019,,0.013,4.1,gram/tonne,Gold,53.3,kilogram,,GOLD,0.0533,4.1
S0000061,31/12/2019,,0.175,3.4,gram/tonne,Gold,595.0,kilogram,,GOLD,0.595,3.4
S0000061,31/12/2019,,0.013,7.5,gram/tonne,Gold,97.5,kilogram,,GOLD,0.0975,7.5
S0000061,31/12/2019,,0.05,3.5,gram/tonne,Gold,175.0,kilogram,,GOLD,0.175,3.5
S0000061,31/12/2019,,0.127,2.9,gram/tonne,Gold,368.3,kilogram,,GOLD,0.3683,2.9
S0000061,31/12/2019,,0.051,3.4,gram/tonne,Gold,173.4,kilogram,,GOLD,0.1734,3.4
S0000061,31/12/2019,,0.179,2.8,gram/tonne,Gold,501.2,kilogram,,GOLD,0.5012,2.8
S0000061,31/12/2019,,0.072,3.1,gram/tonne,Gold,223.2,kilogram,,GOLD,0.22319999999999998,3.1
S0000061,31/12/2019,,0.0,0.0,gram/tonne,Gold,0.0,kilogram,,GOLD,0.0,0.0
S0000063,13/02/1989,30/12/2014,0.1,4.5,gram/tonne,Gold,450.0,kilogram,,GOLD,0.45,4.5
S0000065,19/12/2013,16/03/2020,0.226,1.43,gram/tonne,Gold,323.18,kilogram,0.6,GOLD,0.32318,1.43
S0000068,31/12/2014,,68.57,0.99,gram/tonne,Gold,67884.3,kilogram,0.5,GOLD,67.8843,0.99
S0000068,31/12/2014,,23.08,1.2,gram/tonne,Gold,27696.0,kilogram,0.5,GOLD,27.696,1.2
S0000069,26/10/1994,25/11/2004,2.04,1.9,gram/tonne,Gold,3876.0,kilogram,,GOLD,3.876,1.9
S0000072,29/07/1993,,0.5,1.58,gram/tonne,Gold,790.0,kilogram,,GOLD,0.79,1.58
S0000077,29/03/2021,,0.857,2.0,gram/tonne,Gold,1714.0,kilogram,0.5,GOLD,1.714,2.0
S0000077,29/03/2021,,0.779,1.4,gram/tonne,Gold,1090.6,kilogram,0.5,GOLD,1.0906,1.4
S0000078,30/06/2020,,0.24,2.6,gram/tonne,Gold,624.0,kilogram,,GOLD,0.624,2.6
S0000080,29/06/2020,,0.255,6.0,gram/tonne,Gold,1530.0,kilogram,2.0,GOLD,1.53,6.0
S0000080,29/06/2020,,0.156,5.5,gram/tonne,Gold,858.0,kilogram,2.0,GOLD,0.858,5.5
S0000081,11/09/2003,30/10/2003,0.035,2.94,gram/tonne,Gold,102.9,kilogram,,GOLD,0.1029,2.94
S0000083,12/04/2021,,0.15,1.5,gram/tonne,Gold,225.0,kilogram,0.5,GOLD,0.225,1.5
S0000084,01/02/2014,,0.4,1.7,gram/tonne,Gold,680.0,kilogram,,GOLD,0.68,1.7
S0000085,26/11/2020,,0.3,1.53,gram/tonne,Gold,459.0,kilogram,0.4,GOLD,0.459,1.53
S0000085,26/11/2020,,0.1,0.92,gram/tonne,Gold,92.0,kilogram,0.4,GOLD,0.092,0.92
S0000086,17/06/2004,23/11/2006,1.51,1.8,gram/tonne,Gold,2718.0,kilogram,1.0,GOLD,2.718,1.8
S0000087,10/04/1997,14/02/2005,0.177,2.85,gram/tonne,Gold,504.45,kilogram,0.5,GOLD,0.50445,2.85
S0000087,10/04/1997,14/02/2005,0.325,1.94,gram/tonne,Gold,630.5,kilogram,0.5,GOLD,0.6305,1.94
S0000088,02/06/2017,,0.269,1.98,gram/tonne,Gold,532.62,kilogram,,GOLD,0.53262,1.98
S0000088,02/06/2017,,0.663,2.15,gram/tonne,Gold,1425.45,kilogram,,GOLD,1.42545,2.15
S0000091,31/12/1992,30/12/2013,0.09,3.0,gram/tonne,Gold,270.0,kilogram,,GOLD,0.27,3.0
S0000093,31/12/2000,30/12/2013,0.415,2.0,gram/tonne,Gold,830.0,kilogram,1.0,GOLD,0.83,2.0
S0000095,09/09/2019,,0.015,13.0,gram/tonne,Gold,195.0,kilogram,1.0,GOLD,0.195,13.0
S0000095,09/09/2019,,0.03,13.0,gram/tonne,Gold,390.0,kilogram,1.0,GOLD,0.39,13.0
S0000095,09/09/2019,,0.039,13.0,gram/tonne,Gold,507.0,kilogram,1.0,GOLD,0.507,13.0
S0000096,09/09/2019,,0.456,3.21,gram/tonne,Gold,1463.76,kilogram,1.0,GOLD,1.46376,3.21
S0000096,09/09/2019,,0.07,2.8,gram/tonne,Gold,196.0,kilogram,1.0,GOLD,0.196,2.8
S0000096,09/09/2019,,0.109,1.71,gram/tonne,Gold,186.39,kilogram,1.0,GOLD,0.18639,1.71
S0000096,09/09/2019,,0.293,2.65,gram/tonne,Gold,776.45,kilogram,1.0,GOLD,0.7764500000000001,2.65
S0000096,09/09/2019,,0.456,2.8,gram/tonne,Gold,1276.8,kilogram,1.0,GOLD,1.2768,2.8
S0000096,09/09/2019,,0.414,3.46,gram/tonne,Gold,1432.44,kilogram,1.0,GOLD,1.4324400000000002,3.46
S0000096,09/09/2019,,1.176,7.93,gram/tonne,Gold,9325.68,kilogram,1.0,GOLD,9.32568,7.93
S0000096,09/09/2019,,0.149,6.26,gram/tonne,Gold,932.74,kilogram,1.0,GOLD,0.93274,6.26
S0000096,09/09/2019,,0.226,6.74,gram/tonne,Gold,1523.24,kilogram,1.0,GOLD,1.52324,6.74
S0000096,09/09/2019,,0.292,3.94,gram/tonne,Gold,1150.48,kilogram,1.0,GOLD,1.15048,3.94
S0000096,09/09/2019,,0.33,10.84,gram/tonne,Gold,3577.2,kilogram,1.0,GOLD,3.5772,10.84
S0000096,09/09/2019,,0.097,7.05,gram/tonne,Gold,683.85,kilogram,1.0,GOLD,0.6838500000000001,7.05
S0000096,09/09/2019,,0.1401,2.27,gram/tonne,Gold,318.027,kilogram,1.0,GOLD,0.318027,2.27
S0000096,09/09/2019,,2.3016,1.14,gram/tonne,Gold,2623.824,kilogram,1.0,GOLD,2.623824,1.14
S0000096,09/09/2019,,0.9458,1.85,gram/tonne,Gold,1749.73,kilogram,1.0,GOLD,1.74973,1.85
S0000096,09/09/2019,,1.095,1.44,gram/tonne,Gold,1576.8,kilogram,1.0,GOLD,1.5768,1.44
S0000096,09/09/2019,,0.743,1.63,gram/tonne,Gold,1211.09,kilogram,1.0,GOLD,1.21109,1.63
S0000097,09/09/2019,,0.0913,10.39,gram/tonne,Gold,948.607,kilogram,1.0,GOLD,0.948607,10.39
S0000097,09/09/2019,,0.3354,11.47,gram/tonne,Gold,3847.038,kilogram,1.0,GOLD,3.847038,11.47
S0000097,09/09/2019,,0.1313,26.86,gram/tonne,Gold,3526.718,kilogram,1.0,GOLD,3.526718,26.86
S0000097,09/09/2019,,0.6482,15.57,gram/tonne,Gold,10092.474,kilogram,1.0,GOLD,10.092474,15.57
S0000097,09/09/2019,,0.5362,12.29,gram/tonne,Gold,6589.898,kilogram,1.0,GOLD,6.589898,12.29
S0000097,09/09/2019,,0.252,14.5,gram/tonne,Gold,3654.0,kilogram,1.0,GOLD,3.654,14.5
S0000097,09/09/2019,,0.144,11.45,gram/tonne,Gold,1648.8,kilogram,1.0,GOLD,1.6488,11.45
S0000097,09/09/2019,,0.23,12.44,gram/tonne,Gold,2861.2,kilogram,1.0,GOLD,2.8611999999999997,12.44
S0000098,01/07/1997,25/07/1997,0.07,2.9,gram/tonne,Gold,203.0,kilogram,,GOLD,0.203,2.9
S0000100,31/12/2005,04/07/2007,0.034,1.6,gram/tonne,Gold,54.4,kilogram,,GOLD,0.0544,1.6
S0000101,09/09/2019,,0.0563,3.87,gram/tonne,Gold,217.881,kilogram,1.0,GOLD,0.217881,3.87
S0000101,09/09/2019,,0.0025,9.55,gram/tonne,Gold,23.875,kilogram,1.0,GOLD,0.023875,9.55
S0000101,09/09/2019,,0.0719,1.61,gram/tonne,Gold,115.759,kilogram,1.0,GOLD,0.115759,1.61
S0000101,09/09/2019,,0.2721,3.35,gram/tonne,Gold,911.535,kilogram,1.0,GOLD,0.911535,3.35
S0000102,09/09/2019,,0.1071,17.44,gram/tonne,Gold,1867.824,kilogram,1.0,GOLD,1.8678240000000002,17.44
S0000102,09/09/2019,,0.0527,16.2,gram/tonne,Gold,853.74,kilogram,1.0,GOLD,0.85374,16.2
S0000102,09/09/2019,,0.025,7.59,gram/tonne,Gold,189.75,kilogram,1.0,GOLD,0.18975,7.59
S0000102,09/09/2019,,0.024,6.35,gram/tonne,Gold,152.4,kilogram,1.0,GOLD,0.1524,6.35
