,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
3574,"(-20.77564, 118.781097)",S0022306,-20.792751,118.711735,7.466247326985608 km
3575,"(-20.768925, 118.802339)",S0022810,-20.792751,118.711735,9.79567664337146 km
3576,"(-24.638213, 118.585512)",S0001538,-24.654363,118.618514,3.789806161847834 km
3577,"(-24.638213, 118.585512)",S0001538,-24.634427,118.589798,0.6034641110226973 km
3578,"(-24.638213, 118.585512)",S0001538,-24.633999,118.585811,0.4677548510275042 km
3579,"(-24.638213, 118.585512)",S0001538,-24.652872,118.585674,1.623825601559829 km
3580,"(-21.079196, 116.927548)",S0001501,-21.09803,116.889169,4.500204674407203 km
3581,"(-21.079069, 116.923897)",S0019518,-21.09803,116.889169,4.174782662746913 km
3582,"(-21.066667, 116.936068)",S0022459,-21.09803,116.889169,5.983997319781445 km
3583,"(-21.079069, 116.923897)",S0023122,-21.09803,116.889169,4.174782662746913 km
3584,"(-21.079196, 116.927548)",S0001501,-21.096972,116.887976,4.558643026018788 km
3585,"(-21.079069, 116.923897)",S0019518,-21.096972,116.887976,4.226206758026276 km
3586,"(-21.066667, 116.936068)",S0022459,-21.096972,116.887976,6.019324580556515 km
3587,"(-21.079069, 116.923897)",S0023122,-21.096972,116.887976,4.226206758026276 km
3588,"(-21.079196, 116.927548)",S0001501,-21.097018,116.888063,4.552695049922914 km
3589,"(-21.079069, 116.923897)",S0019518,-21.097018,116.888063,4.2206199505413755 km
3590,"(-21.066667, 116.936068)",S0022459,-21.097018,116.888063,6.014664395348956 km
3591,"(-21.079069, 116.923897)",S0023122,-21.097018,116.888063,4.2206199505413755 km
3592,"(-21.079196, 116.927548)",S0001501,-21.110656,116.879896,6.053727453552534 km
3593,"(-21.079069, 116.923897)",S0019518,-21.110656,116.879896,5.7561380107909255 km
3594,"(-21.066667, 116.936068)",S0022459,-21.110656,116.879896,7.601874616275039 km
3595,"(-21.079069, 116.923897)",S0023122,-21.110656,116.879896,5.7561380107909255 km
3596,"(-24.638213, 118.585512)",S0001538,-24.676789,118.546835,5.7954417323741065 km
3597,"(-21.079196, 116.927548)",S0001501,-21.03263,116.97902,7.429599752950439 km
3598,"(-21.079069, 116.923897)",S0019518,-21.03263,116.97902,7.697922318160873 km
3599,"(-21.066667, 116.936068)",S0022459,-21.03263,116.97902,5.842189115528737 km
3600,"(-21.079069, 116.923897)",S0023122,-21.03263,116.97902,7.697922318160873 km
3601,"(-21.228789, 119.276288)",S0004433,-21.35092,119.280524,13.529586290161864 km
3602,"(-23.715655, 119.281652)",S0002505,-23.714238,119.278782,0.33209008947669183 km
3603,"(-23.715655, 119.281652)",S0002505,-23.714802,119.279664,0.22365752303273762 km
3604,"(-20.77564, 118.781097)",S0022306,-20.686962,118.84436,11.824025297971236 km
3605,"(-20.768925, 118.802339)",S0022810,-20.686962,118.84436,10.07478963911897 km
3606,"(-24.638213, 118.585512)",S0001538,-24.641874,118.599287,1.4523730739536758 km
3607,"(-24.638213, 118.585512)",S0001538,-24.661698,118.596308,2.8216412446968286 km
3608,"(-24.638213, 118.585512)",S0001538,-24.640934,118.632131,4.729441761144618 km
3609,"(-24.638213, 118.585512)",S0001538,-24.642742,118.57789,0.9204002592597328 km
3610,"(-24.638213, 118.585512)",S0001538,-24.642477,118.624782,4.003728582725214 km
3611,"(-24.638213, 118.585512)",S0001538,-24.647492,118.618573,3.501347690412254 km
3612,"(-24.638213, 118.585512)",S0001538,-24.635661,118.592579,0.7693128889679999 km
3613,"(-24.638213, 118.585512)",S0001538,-24.63315,118.60207,1.7677445799371176 km
3614,"(-24.638213, 118.585512)",S0001538,-24.659639,118.608227,3.3046243472468797 km
3615,"(-28.40897, 121.147797)",S0002897,-28.483847,121.174315,8.695407525650412 km
3616,"(-28.40897, 121.147797)",S0002898,-28.483847,121.174315,8.695407525650412 km
3617,"(-28.444611, 121.155098)",S0018933,-28.483847,121.174315,4.738226033708008 km
3618,"(-28.444611, 121.155098)",S0019383,-28.483847,121.174315,4.738226033708008 km
3619,"(-28.43095, 121.146103)",S0022300,-28.483847,121.174315,6.480971806608496 km
3620,"(-28.483949, 121.169987)",S0223460,-28.483847,121.174315,0.4239440499247945 km
3621,"(-28.478071, 121.158546)",S0224705,-28.483847,121.174315,1.67155769714642 km
3622,"(-28.483949, 121.169987)",S0229619,-28.483847,121.174315,0.4239440499247945 km
3623,"(-28.397473, 121.145223)",S0231974,-28.483847,121.174315,9.987738009017804 km
3624,"(-28.40897, 121.147797)",S0002897,-28.332449,121.091792,10.102288113655764 km
3625,"(-28.40897, 121.147797)",S0002898,-28.332449,121.091792,10.102288113655764 km
3626,"(-28.444611, 121.155098)",S0018933,-28.332449,121.091792,13.892824153886533 km
3627,"(-28.444611, 121.155098)",S0019383,-28.332449,121.091792,13.892824153886533 km
3628,"(-28.43095, 121.146103)",S0022300,-28.332449,121.091792,12.14515943934204 km
3629,"(-28.397473, 121.145223)",S0231974,-28.332449,121.091792,8.908703577322921 km
3630,"(-21.079196, 116.927548)",S0001501,-21.060501,116.958128,3.792575588029441 km
3631,"(-21.079069, 116.923897)",S0019518,-21.060501,116.958128,4.108664505719488 km
3632,"(-21.066667, 116.936068)",S0022459,-21.060501,116.958128,2.3920996782883517 km
3633,"(-21.079069, 116.923897)",S0023122,-21.060501,116.958128,4.108664505719488 km
3634,"(-21.079196, 116.927548)",S0001501,-21.031356,116.987344,8.165671591262136 km
3635,"(-21.079069, 116.923897)",S0019518,-21.031356,116.987344,8.449253457255542 km
3636,"(-21.066667, 116.936068)",S0022459,-21.031356,116.987344,6.60965692196114 km
3637,"(-21.079069, 116.923897)",S0023122,-21.031356,116.987344,8.449253457255542 km
3638,"(-28.569653, 116.488299)",S0026065,-28.440172,116.524523,14.781777774928791 km
3639,"(-21.205698, 119.238599)",S0003148,-21.33363,119.264343,14.414477278455715 km
3640,"(-21.228789, 119.276288)",S0004433,-21.33363,119.264343,11.674066980127261 km
3641,"(-21.205698, 119.238599)",S0018892,-21.33363,119.264343,14.414477278455715 km
3642,"(-24.638213, 118.585512)",S0001538,-24.615287,118.586128,2.540218324628812 km
3643,"(-24.638213, 118.585512)",S0001538,-24.613733,118.604074,3.2992563762445544 km
3644,"(-24.638213, 118.585512)",S0001538,-24.656206,118.618449,3.8846627031556955 km
3645,"(-24.638213, 118.585512)",S0001538,-24.674302,118.545431,5.695806146951726 km
3646,"(-27.05574, 117.697197)",S0001380,-26.963803,117.756645,11.772171571291722 km
3647,"(-21.079196, 116.927548)",S0001501,-21.092545,116.887941,4.372933040143346 km
3648,"(-21.079069, 116.923897)",S0019518,-21.092545,116.887941,4.023121781252098 km
3649,"(-21.066667, 116.936068)",S0022459,-21.092545,116.887941,5.763714927985172 km
3650,"(-21.079069, 116.923897)",S0023122,-21.092545,116.887941,4.023121781252098 km
3651,"(-21.079196, 116.927548)",S0001501,-21.005657,116.970729,9.297190941028582 km
3652,"(-21.079069, 116.923897)",S0019518,-21.005657,116.970729,9.47414970799511 km
3653,"(-21.066667, 116.936068)",S0022459,-21.005657,116.970729,7.6556418285283225 km
3654,"(-21.079069, 116.923897)",S0023122,-21.005657,116.970729,9.47414970799511 km
3655,"(-21.079196, 116.927548)",S0001501,-21.206406,116.958,14.435361005434284 km
3656,"(-21.079069, 116.923897)",S0019518,-21.206406,116.958,14.536810546921986 km
3657,"(-21.079069, 116.923897)",S0023122,-21.206406,116.958,14.536810546921986 km
3658,"(-21.228789, 119.276288)",S0004433,-21.351823,119.280538,13.629562409607267 km
3659,"(-21.066667, 116.936068)",S0022459,-20.932533,116.919616,14.949101474971359 km
3660,"(-21.205698, 119.238599)",S0003148,-21.320438,119.264602,12.987558900229379 km
3661,"(-21.228789, 119.276288)",S0004433,-21.320438,119.264602,10.21964778965754 km
3662,"(-21.205698, 119.238599)",S0018892,-21.320438,119.264602,12.987558900229379 km
3663,"(-24.638213, 118.585512)",S0001538,-24.615761,118.609473,3.474328206111183 km
3664,"(-24.638213, 118.585512)",S0001538,-24.636665,118.636995,5.215180301363266 km
3665,"(-24.638213, 118.585512)",S0001538,-24.63707,118.591738,0.6429351019258264 km
3666,"(-24.638213, 118.585512)",S0001538,-24.64423,118.627986,4.351465244905009 km
3667,"(-24.638213, 118.585512)",S0001538,-24.662697,118.59063,2.7610840600490416 km
3668,"(-24.638213, 118.585512)",S0001538,-24.637071,118.632042,4.712588084705036 km
3669,"(-24.638213, 118.585512)",S0001538,-24.654314,118.554758,3.5880813224267327 km
3670,"(-24.638213, 118.585512)",S0001538,-24.637479,118.626881,4.189151269943432 km
3671,"(-21.228789, 119.276288)",S0004433,-21.358077,119.285455,14.346448322198784 km
3672,"(-21.066667, 116.936068)",S0022459,-20.932506,116.919712,14.950932634145762 km
3673,"(-21.01351, 121.05141)",S0026200,-20.916826,120.953518,14.77240062511431 km
3674,"(-20.77564, 118.781097)",S0022306,-20.684299,118.844184,12.059982673417473 km
3675,"(-20.768925, 118.802339)",S0022810,-20.684299,118.844184,10.333407073799139 km
3676,"(-24.638213, 118.585512)",S0001538,-24.636273,118.599541,1.436522151287889 km
3677,"(-24.638213, 118.585512)",S0001538,-24.646399,118.625317,4.130625197066319 km
3678,"(-24.638213, 118.585512)",S0001538,-24.657397,118.620213,4.105675911627127 km
3679,"(-24.638213, 118.585512)",S0001538,-24.643291,118.626304,4.167977102681381 km
3680,"(-24.638213, 118.585512)",S0001538,-24.614822,118.604434,3.2223882150460423 km
3681,"(-24.638213, 118.585512)",S0001538,-24.677839,118.547431,5.841721900096488 km
3682,"(-24.638213, 118.585512)",S0001538,-24.648227,118.565333,2.324625820336867 km
3683,"(-28.40897, 121.147797)",S0002897,-28.483818,121.174093,8.685866973770375 km
3684,"(-28.40897, 121.147797)",S0002898,-28.483818,121.174093,8.685866973770375 km
3685,"(-28.444611, 121.155098)",S0018933,-28.483818,121.174093,4.726677366179835 km
3686,"(-28.444611, 121.155098)",S0019383,-28.483818,121.174093,4.726677366179835 km
3687,"(-28.43095, 121.146103)",S0022300,-28.483818,121.174093,6.468820235497153 km
3688,"(-28.483949, 121.169987)",S0223460,-28.483818,121.174093,0.40231739851458026 km
3689,"(-28.478071, 121.158546)",S0224705,-28.483818,121.174093,1.6502543764807267 km
3690,"(-28.483949, 121.169987)",S0229619,-28.483818,121.174093,0.40231739851458026 km
3691,"(-28.397473, 121.145223)",S0231974,-28.483818,121.174093,9.978472564369714 km
3692,"(-28.40897, 121.147797)",S0002897,-28.488045,121.081238,10.922716885005775 km
3693,"(-28.40897, 121.147797)",S0002898,-28.488045,121.081238,10.922716885005775 km
3694,"(-28.444611, 121.155098)",S0018933,-28.488045,121.081238,8.688770184268723 km
3695,"(-28.444611, 121.155098)",S0019383,-28.488045,121.081238,8.688770184268723 km
3696,"(-28.43095, 121.146103)",S0022300,-28.488045,121.081238,8.966580777973205 km
3697,"(-28.483949, 121.169987)",S0223460,-28.488045,121.081238,8.701887318368138 km
3698,"(-28.478071, 121.158546)",S0224705,-28.488045,121.081238,7.65026020450773 km
3699,"(-28.483949, 121.169987)",S0229619,-28.488045,121.081238,8.701887318368138 km
3700,"(-28.397473, 121.145223)",S0231974,-28.488045,121.081238,11.83394121099985 km
3701,"(-23.715655, 119.281652)",S0002505,-23.704066,119.261987,2.380989618610773 km
3702,"(-23.715655, 119.281652)",S0002505,-23.723096,119.285947,0.9332691839523578 km
3703,"(-23.715655, 119.281652)",S0002505,-23.709459,119.27161,1.232716174066282 km
3704,"(-23.715655, 119.281652)",S0002505,-23.717327,119.283532,0.2665421695325017 km
