,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
385720,98.0,0.02,18.7,1.4,0.001,60.9,0.046,0.06,-30.96041,121.379944
385721,80.0,0.01,14.6,0.8,0.001,63.5,0.039,0.001,-30.959554,121.379278
385722,65.0,0.01,57.7,0.25,0.001,79.6,0.037,0.001,-30.962591,121.379771
385723,71.0,0.02,27.8,0.7,0.001,87.6,0.033,0.001,-30.972113,121.378626
385724,69.0,0.01,9.4,0.9,0.001,73.5,0.033,0.001,-30.971702,121.382538
385725,76.0,0.01,22.4,1.0,0.003,76.2,0.035,0.11,-30.971689,121.383659
385726,42.0,0.03,4.1,24.5,0.001,7.7,0.022,0.29,-30.953094,121.367736
385727,67.0,0.03,34.3,1.7,0.038,158.0,0.024,0.001,-30.953034,121.368742
385728,36.0,0.04,2.3,21.9,0.001,5.2,0.016,0.12,-30.953,121.368188
385729,29.0,0.02,1.7,34.9,0.001,6.5,0.021,0.1,-30.953966,121.368266
385730,56.0,0.03,3.7,28.8,0.001,10.1,0.024,0.07,-30.954009,121.368789
385731,70.0,0.02,39.9,3.3,0.001,95.6,0.022,0.001,-30.953974,121.368842
385732,73.0,0.01,34.4,1.5,0.001,59.4,0.033,0.11,-30.986142,121.367938
385733,50.0,2.5,25.0,10.0,,40.0,0.1,10.0,-20.685257,118.835682
385734,25.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.685199,118.838608
385735,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.685247,118.836603
385736,25.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.685246,118.837592
385737,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.685331,118.841413
385738,100.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.685202,118.842563
385739,100.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.685075,118.843425
385740,50.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.685209,118.844387
385741,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.686004,118.844348
385742,25.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.686096,118.843428
385743,25.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.686251,118.842403
385744,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.686202,118.838524
385745,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.686295,118.836596
385746,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.68627,118.835598
385747,50.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.688129,118.835745
385748,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.688045,118.837673
385749,50.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.687938,118.844266
385750,50.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.684372,118.835681
385751,50.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.684287,118.83853
385752,25.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.68425,118.83949
385753,25.0,5.0,25.0,40.0,,10.0,0.1,10.0,-20.684285,118.840479
385754,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.684292,118.841429
385755,50.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.68431,118.842331
385756,25.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.684272,118.843348
385757,50.0,2.5,25.0,40.0,,20.0,0.1,10.0,-20.684299,118.844184
385758,50.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.686962,118.84436
385759,25.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.686981,118.843391
385760,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.6898,118.835688
385761,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.689705,118.839565
385762,50.0,2.5,25.0,20.0,,10.0,0.1,10.0,-20.689685,118.840525
385763,50.0,2.5,150.0,10.0,,40.0,0.1,10.0,-20.690621,118.843377
385764,25.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.691344,118.862688
385765,25.0,2.5,25.0,40.0,,10.0,0.1,10.0,-20.697623,118.8617
385766,400.0,2.5,25.0,10.0,,10.0,0.1,10.0,-20.695154,118.856957
385767,450.0,2.5,25.0,60.0,,20.0,0.1,10.0,-20.695869,118.85686
385768,50.0,10.0,25.0,20.0,,20.0,0.1,10.0,-20.696788,118.857024
385787,10.0,49.5,5.8,2.4,0.0,5.9,0.01,0.2,-22.2362,120.918107
385788,21.0,0.02,2.8,27.5,0.01,2.7,0.008,0.06,-33.866578,118.196218
385789,37.0,0.16,84.5,116.5,0.009,8.7,0.034,0.19,-23.602785,115.340899
385790,15.0,0.005,10.4,14.2,0.001,4.2,0.094,0.1,-23.552907,115.25714
385792,33.0,0.08,21.6,22.9,0.001,10.3,0.01,0.06,-23.545165,115.31743
385793,8.0,0.05,15.9,38.6,0.003,1.2,0.018,0.06,-23.602785,115.340899
385794,36.0,0.005,20.4,25.0,0.004,8.2,0.054,0.12,-23.602785,115.340899
385795,50.0,0.005,16.0,12.1,0.0005,11.5,0.052,0.14,-23.538579,115.344977
385796,18.0,0.005,29.3,22.5,0.0005,9.9,0.034,0.16,-23.54533,115.339515
